url,name,image_bias,freedom_rank,factual,country,bias
https://www.opednews.com/,OpEdNews (OEN),MBFCMixed.png,,MIXED,,LEFT BIAS
https://www.ama-assn.org/,American Medical Association ( AMA),MBFCHigh.png,USA 45/180,HIGH,USA,PRO-SCIENCE
http://www.sayfiereview.com/,Sayfie Review,MBFCHigh.png,,HIGH,,LEAST BIASED
https://themoscowtimes.com/,Moscow Times,MBFCHigh.png,Netherlands 4/180,HIGH,Netherlands,LEFT-CENTER BIAS
https://thereisnews.com,There is News,,,,,SATIRE
https://www.newsday.com/,Newsday,MBFCHigh.png,USA 45/180,HIGH,USA,LEFT-CENTER BIAS
https://westsbvtimes.com/,West SBV Times,MBFCMixed.png,,,,QUESTIONABLE SOURCE
https://www.espn.com/,ESPN,MBFCHigh.png,USA 45/180,HIGH,USA,LEFT-CENTER BIAS
,Portugal Media Profile,,,,,Media
http://dailyoccupation.com/,Daily Occupation,MBFCLow.png,,,LOW,CONSPIRACY-PSEUDOSCIENCE
,Disclaimer,,,,,
https://rare.us/,Rare News,MBFCMostlyFactual.png,USA 45/180,MOSTLY FACTUAL,USA,LEAST BIASED
https://arcdigital.media/,Arc Digital,MBFCHigh.png,USA 48/180,HIGH,USA,LEAST BIASED
https://www.tovima.gr/,To Vima,MBFCMixed.png,,,,RIGHT-CENTER BIAS
https://www.fox35orlando.com/,WOFL Fox 35 Orlando,MBFCHigh.png,,HIGH,USA,LEAST BIASED
https://americanconservativemedia.com/,American Conservative Media,MBFCMixed.png,,,,QUESTIONABLE SOURCE
https://www.sbsun.com,San Bernardino Sun,MBFCHigh.png,USA 45/180,USA 45/180,HIGH,RIGHT-CENTER BIAS
http://www.seattletimes.com/,Seattle Times,MBFCHigh.png,USA 45/180,HIGH,USA,LEFT-CENTER BIAS
https://tyrannyrising.com/,Tyranny Rising,MBFCMixed.png,,MIXED,,CONSPIRACY-PSEUDOSCIENCE
https://ageofshitlords.com/,Age of Shitlords,MBFCLow.png,,,,QUESTIONABLE SOURCE
http://www.youthrights.org/,National Youth Rights Association,MBFCHigh.png,,HIGH,,LEFT-CENTER BIAS
https://davidharrisjr.com/,DavidHarrisJr.com,MBFCLow.png,,,,QUESTIONABLE SOURCE
https://www.newamerica.org/,New America,MBFCHigh.png,USA 45/180,HIGH,USA,LEFT-CENTER BIAS
https://www.icrw.org/,International Center for Research on Women,MBFCHigh.png,USA 45/180,HIGH,USA,LEFT-CENTER BIAS
https://climatechangedispatch.com,Climate Change Dispatch,MBFCLow.png,,USA 45/180,LOW,CONSPIRACY-PSEUDOSCIENCE
https://genzconservative.com/,Gen Z Conservative,MBFCMixed.png,,,,QUESTIONABLE SOURCE
https://www.telesurenglish.net/,TeleSUR,MBFCMixed.png,,,,QUESTIONABLE SOURCE
http://en-volve.com/,En Volve,MBFCVeryLow.png,,,,QUESTIONABLE SOURCE
